Condition ,Dopamine (uM),Ascorbic Acid (uM),Uric Acid (uM)
1,0,0,0
2,0,100,0
3,0,200,0
4,0,400,0
5,5,0,0
6,5,100,0
7,5,200,0
8,5,400,0
9,10,0,0
10,10,100,0
11,10,200,0
12,10,400,0
13,20,0,0
14,20,100,0
15,20,200,0
16,20,400,0
17,50,0,0
18,50,100,0
19,50,200,0
20,50,400,0
21,100,0,0
22,100,100,0
23,100,200,0
24,100,400,0
