Condition ,Dopamine (uM),Ascorbic Acid (uM),Uric Acid (uM)
1,0,0,200
2,0,100,200
3,0,200,200
4,0,400,200
5,5,0,200
6,5,100,200
7,5,200,200
8,5,400,200
9,10,0,200
10,10,100,200
11,10,200,200
12,10,400,200
13,20,0,200
14,20,100,200
15,20,200,200
16,20,400,200
17,50,0,200
18,50,100,200
19,50,200,200
20,50,400,200
21,100,0,200
22,100,100,200
23,100,200,200
24,100,400,200
