Condition ,Dopamine (uM),Ascorbic Acid (uM),Uric Acid (uM)
1,0,0,400
2,0,100,400
3,0,200,400
4,0,400,400
5,5,0,400
6,5,100,400
7,5,200,400
8,5,400,400
9,10,0,400
10,10,100,400
11,10,200,400
12,10,400,400
13,20,0,400
14,20,100,400
15,20,200,400
16,20,400,400
17,50,0,400
18,50,100,400
19,50,200,400
20,50,400,400
21,100,0,400
22,100,100,400
23,100,200,400
24,100,400,400
