analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E1,4,1001,0.999038235731,0.99984328256,1,0.99968658968,0.99984328256,1,0.99968658968,0.999038235731,0.0216224318219,0.0123990156073,0.135887114163,0.00383996018788,0.99950786651,101;102;103;104,0;100;200;400,0.020074112948;0.0190507635071;0.0296621612493;0.0149790794358,0.0114363949506;0.0109143885903;0.0181405772544;0.00910470163393,0.998852960287;0.999133937292;0.998577227343;0.999853591164
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E3,4,1001,0.998226012321,0.999444660593,1,0.998889629588,0.999444660593,1,0.998889629588,0.998226012321,0.0225464551328,0.0145418984989,0.156413093017,0.00381852064236,0.999292486572,101;102;103;104,0;100;200;400,0.0174324340936;0.0230915999734;0.0316955330147;0.0138438432304,0.011548832071;0.0190981477373;0.0198494964433;0.00767111774416,0.999325220819;0.998878119098;0.998115270796;0.999805622073
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E5,4,1001,0.998890351811,0.999201129993,1,0.99840289818,0.999201129993,1,0.99840289818,0.998890351811,0.0257084712146,0.0184306061261,0.148534032524,0.00431357425706,0.9992036616,101;102;103;104,0;100;200;400,0.0261194474868;0.0209209833282;0.0342709268673;0.0186893675655,0.0207105363391;0.0161671779595;0.0228131898707;0.0140315203349,0.998489431973;0.99911793149;0.997991440281;0.999707834124
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,anodic,E7,4,1001,0.998887129704,0.999387070646,1,0.998774516974,0.999387070646,1,0.998774516974,0.998887129704,0.0241381234289,0.016425327941,0.139312039735,0.00391135148654,0.999338434874,101;102;103;104,0;100;200;400,0.0196555798807;0.0141785271043;0.0377299656933;0.0178794084957,0.0157925075973;0.00951155123827;0.0270122913655;0.0133849615629,0.999227934804;0.999629765727;0.997731826568;0.999744208679
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E1,4,1000,0.998447270511,0.999828075239,1,0.999656180036,0.999828075239,1,0.999656180036,0.998447270511,0.0151124766674,0.00802923219541,0.135855002802,0.00268384746087,0.999555651976,101;102;103;104,0;100;200;400,0.0148522111445;0.0108235238353;0.0211791563076;0.0112807046808,0.00795865178292;0.00871295017011;0.0103751752121;0.00507015161647,0.999212545835;0.99963121259;0.99887338084;0.999834794903
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E3,4,1000,0.996273758844,0.999110643301,1,0.998222077557,0.999110643301,1,0.998222077557,0.996273758844,0.017583812215,0.0102500118438,0.156553333999,0.00297340281296,0.999322504256,101;102;103;104,0;100;200;400,0.0142826940887;0.0138405106567;0.0263794628833;0.0120553166846,0.00845302442051;0.0119936612256;0.0148323766787;0.00572098505041,0.999425851798;0.999477230169;0.9981856038;0.99975011765
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E5,4,1000,0.998241274109,0.998926654507,1,0.997854461084,0.998926654507,1,0.997854461084,0.998241274109,0.0176946165638,0.0115634118184,0.148623470698,0.00295525955136,0.999370513669,101;102;103;104,0;100;200;400,0.0169354543262;0.010731387745;0.0259185903802;0.0133660838653,0.0128773917398;0.00823597759178;0.0158166630509;0.00932361489105,0.999173545215;0.999693229975;0.998347888315;0.999731600109
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_gc,cathodic,E7,4,1000,0.998311537095,0.999206096504,1,0.99841282329,0.999206096504,1,0.99841282329,0.998311537095,0.016267650993,0.00964232917018,0.139631634451,0.00261777690054,0.999499682517,101;102;103;104,0;100;200;400,0.0117232076397;0.00679227969872;0.0269802555269;0.0121261298921,0.00845935817021;0.0046515534831;0.0172700982756;0.00818830675179,0.999637054406;0.999887051184;0.998332081636;0.999788327781
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E1,4,1001,0.977033478165,0.986181987104,1,0.972554911689,0.986181987104,1,0.972554911689,0.977033478165,0.0856841371752,0.0607873836017,0.32379390627,0.0176967526901,0.986746372444,101;102;103;104,0;100;200;400,0.064553520753;0.104197778564;0.111351389814;0.0440864983968,0.0396964882381;0.0811764290024;0.0899597393708;0.0323168777955,0.988465369324;0.965589771358;0.968028144671;0.997569564032
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E3,4,1001,0.972256562843,0.998256703378,1,0.996516445839,0.998256703378,1,0.996516445839,0.972256562843,0.072251062604,0.0424383551718,0.477987614253,0.0132490533446,0.991998129362,101;102;103;104,0;100;200;400,0.0808450160679;0.0516362967737;0.0945748671493;0.0522899122759,0.0416469600508;0.0313163625291;0.0642243207499;0.0325657773574,0.986815617951;0.993168831722;0.979123001809;0.996926103712
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E5,4,1001,0.988150844006,0.999286253598,1,0.998573016629,0.999286253598,1,0.998573016629,0.988150844006,0.0594301765173,0.0371201578243,0.37781323051,0.010770238586,0.995556682424,101;102;103;104,0;100;200;400,0.0698441129306;0.0461295703318;0.0725545671218;0.0430985027958,0.0448663671153;0.0316666125877;0.044281117221;0.0276665343734,0.989428563954;0.994654961358;0.989667567514;0.998396046343
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,anodic,E7,4,1001,0.984470704847,0.997100925077,1,0.994210254789,0.997100925077,1,0.994210254789,0.984470704847,0.0761115861153,0.0537471794682,0.441594006958,0.0132545471528,0.993095938663,101;102;103;104,0;100;200;400,0.092153709142;0.0566679060424;0.0929015218979;0.0532695382855,0.0660942514818;0.0395160557404;0.0690724567519;0.0403059538986,0.983966162096;0.992530629762;0.983669368012;0.997646556218
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,cathodic,E1,4,1000,0.970440198869,0.986740762581,1,0.973657332539,0.986740762581,1,0.973657332539,0.970440198869,0.062629701089,0.0429711355283,0.312681003316,0.0128698218578,0.988291536139,101;102;103;104,0;100;200;400,0.0598101705963;0.0950349185689;0.0454917564837;0.0318044913789,0.0450342297919;0.0754269238166;0.0317642129919;0.0196591755128,0.987113911916;0.954416854668;0.992256410817;0.997646321589
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,cathodic,E3,4,1000,0.964277078215,0.993211519782,1,0.986469123027,0.993211519782,1,0.986469123027,0.964277078215,0.0625492674051,0.0424201980791,0.413259901175,0.0112359243753,0.990493021048,101;102;103;104,0;100;200;400,0.0698873918669;0.0742090042518;0.0530264781235;0.0494632406487,0.0510935045575;0.0542177284087;0.0331888516277;0.0311807077223,0.987241014749;0.978025967988;0.991130167292;0.99512090233
AA,1,pcr,1,1,1,1,0,0,0,electrode,cv_normal,cathodic,E5,4,1000,0.981022475303,0.998105425179,1,0.996214439772,0.998105425179,1,0.996214439772,0.981022475303,0.048149859955,0.033536564094,0.342832626009,0.0085827097476,0.994661900656,101;102;103;104,0;100;200;400,0.0538154628539;0.0581653735368;0.0426494923808;0.0342832631699,0.0393660839128;0.0433907772998;0.0287944721423;0.0225949230211,0.991627485173;0.986604675412;0.994556849948;0.997875746186
