0.799, -2.346e-6, -2.209e-6, -2.360e-6, -2.458e-6
0.798, -2.118e-6, -1.988e-6, -2.116e-6, -2.213e-6
0.797, -1.977e-6, -1.852e-6, -1.966e-6, -2.060e-6
0.796, -1.878e-6, -1.754e-6, -1.863e-6, -1.952e-6
0.795, -1.802e-6, -1.679e-6, -1.783e-6, -1.872e-6
0.794, -1.740e-6, -1.618e-6, -1.718e-6, -1.804e-6
0.793, -1.688e-6, -1.566e-6, -1.662e-6, -1.745e-6
0.792, -1.645e-6, -1.522e-6, -1.616e-6, -1.698e-6
0.791, -1.604e-6, -1.483e-6, -1.574e-6, -1.654e-6
0.790, -1.567e-6, -1.445e-6, -1.536e-6, -1.613e-6
0.789, -1.536e-6, -1.414e-6, -1.504e-6, -1.579e-6
0.788, -1.508e-6, -1.385e-6, -1.474e-6, -1.547e-6
0.787, -1.480e-6, -1.357e-6, -1.444e-6, -1.517e-6
0.786, -1.456e-6, -1.332e-6, -1.419e-6, -1.489e-6
0.785, -1.434e-6, -1.310e-6, -1.396e-6, -1.464e-6
0.784, -1.413e-6, -1.288e-6, -1.373e-6, -1.441e-6
0.783, -1.390e-6, -1.266e-6, -1.351e-6, -1.417e-6
0.782, -1.374e-6, -1.248e-6, -1.334e-6, -1.399e-6
0.781, -1.358e-6, -1.231e-6, -1.315e-6, -1.381e-6
0.780, -1.338e-6, -1.211e-6, -1.296e-6, -1.360e-6
0.779, -1.324e-6, -1.197e-6, -1.281e-6, -1.345e-6
0.778, -1.310e-6, -1.181e-6, -1.266e-6, -1.328e-6
0.777, -1.294e-6, -1.165e-6, -1.251e-6, -1.310e-6
0.776, -1.282e-6, -1.152e-6, -1.237e-6, -1.297e-6
0.775, -1.270e-6, -1.140e-6, -1.224e-6, -1.283e-6
0.774, -1.258e-6, -1.128e-6, -1.211e-6, -1.271e-6
0.773, -1.245e-6, -1.114e-6, -1.199e-6, -1.257e-6
0.772, -1.234e-6, -1.103e-6, -1.189e-6, -1.245e-6
0.771, -1.224e-6, -1.092e-6, -1.177e-6, -1.233e-6
0.770, -1.214e-6, -1.082e-6, -1.167e-6, -1.222e-6
0.769, -1.204e-6, -1.072e-6, -1.156e-6, -1.211e-6
0.768, -1.194e-6, -1.061e-6, -1.146e-6, -1.199e-6
0.767, -1.185e-6, -1.052e-6, -1.137e-6, -1.191e-6
0.766, -1.179e-6, -1.045e-6, -1.130e-6, -1.182e-6
0.765, -1.171e-6, -1.036e-6, -1.121e-6, -1.173e-6
0.764, -1.162e-6, -1.027e-6, -1.112e-6, -1.164e-6
0.763, -1.155e-6, -1.021e-6, -1.106e-6, -1.158e-6
0.762, -1.148e-6, -1.012e-6, -1.097e-6, -1.149e-6
0.761, -1.139e-6, -1.003e-6, -1.088e-6, -1.139e-6
0.760, -1.134e-6, -9.976e-7, -1.083e-6, -1.134e-6
0.759, -1.127e-6, -9.910e-7, -1.076e-6, -1.126e-6
0.758, -1.121e-6, -9.845e-7, -1.070e-6, -1.120e-6
0.757, -1.117e-6, -9.776e-7, -1.064e-6, -1.113e-6
0.756, -1.111e-6, -9.722e-7, -1.058e-6, -1.107e-6
0.755, -1.104e-6, -9.658e-7, -1.052e-6, -1.100e-6
0.754, -1.100e-6, -9.594e-7, -1.047e-6, -1.095e-6
0.753, -1.094e-6, -9.549e-7, -1.042e-6, -1.089e-6
0.752, -1.088e-6, -9.491e-7, -1.037e-6, -1.084e-6
0.751, -1.086e-6, -9.448e-7, -1.033e-6, -1.079e-6
0.750, -1.080e-6, -9.392e-7, -1.027e-6, -1.074e-6
0.749, -1.074e-6, -9.339e-7, -1.021e-6, -1.068e-6
0.748, -1.072e-6, -9.305e-7, -1.019e-6, -1.065e-6
0.747, -1.068e-6, -9.270e-7, -1.015e-6, -1.060e-6
0.746, -1.065e-6, -9.234e-7, -1.011e-6, -1.058e-6
0.745, -1.060e-6, -9.192e-7, -1.007e-6, -1.053e-6
0.744, -1.057e-6, -9.152e-7, -1.004e-6, -1.048e-6
0.743, -1.055e-6, -9.125e-7, -1.000e-6, -1.046e-6
0.742, -1.052e-6, -9.095e-7, -9.976e-7, -1.043e-6
0.741, -1.049e-6, -9.058e-7, -9.946e-7, -1.039e-6
0.740, -1.044e-6, -9.030e-7, -9.919e-7, -1.035e-6
0.739, -1.042e-6, -8.997e-7, -9.883e-7, -1.033e-6
0.738, -1.039e-6, -8.956e-7, -9.858e-7, -1.029e-6
0.737, -1.037e-6, -8.935e-7, -9.833e-7, -1.027e-6
0.736, -1.033e-6, -8.897e-7, -9.791e-7, -1.023e-6
0.735, -1.032e-6, -8.887e-7, -9.781e-7, -1.022e-6
0.734, -1.031e-6, -8.858e-7, -9.771e-7, -1.020e-6
0.733, -1.028e-6, -8.845e-7, -9.745e-7, -1.018e-6
0.732, -1.027e-6, -8.819e-7, -9.723e-7, -1.015e-6
0.731, -1.025e-6, -8.800e-7, -9.698e-7, -1.013e-6
0.730, -1.024e-6, -8.780e-7, -9.684e-7, -1.012e-6
0.729, -1.021e-6, -8.759e-7, -9.663e-7, -1.009e-6
0.728, -1.021e-6, -8.743e-7, -9.658e-7, -1.008e-6
0.727, -1.019e-6, -8.720e-7, -9.639e-7, -1.006e-6
