technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,anodic,100,2,6,5,100,100,1.094594132,-49.97366987,0.3037175906,-282.7111786,0.18409238,-214.7031763,0.3776217298,-540.9583538,0.2542243233,-1.749627552,0.05101339486,-7.003961818,0.07149350238,-31.5325467,0.03792341002,-4.465963451
cv_normal,anodic,100,2,7,5,200,100,1.08435848,-31.59210003,0.3231805281,-131.6820324,0.1994674982,-858.2305615,0.5498471642,-3105.006956,0.2593889651,-0.8649602406,0.05011264197,-2.190188479,0.2022356038,-882.2439397,0.1472646108,-221.8000238
cv_normal,anodic,100,2,8,5,400,100,1.142768775,-18.34340626,0.3553290386,-88.7025658,0.1936824723,-156.2015806,0.8103717037,-2013.376368,0.3125488374,-0.4469449157,0.1404295176,-13.01071412,0.3693654947,-570.7272763,0.3547298045,-384.9823455
cv_normal,anodic,100,2,9,10,0,100,1.139520406,-70.73995424,0.2202620228,-486.3918265,0.1419665571,-80.03073381,0.2050775138,-34.08391506,0.2640304337,-2.851455284,0.02201272146,-3.867954067,0.08830923,-30.35377718,0.1803759378,-26.14120764
cv_normal,anodic,100,2,10,10,100,100,1.121858848,-70.19161633,0.2957054874,-123.6883394,0.1835341875,-21.13111277,0.3423613065,-73.07808503,0.2649479145,-2.970758084,0.0461408879,-2.035840627,0.06299614132,-1.607337202,0.06511448888,-1.679635166
cv_normal,anodic,100,2,11,10,200,100,1.115819455,-68.97837763,0.3000404649,-51.74155304,0.209999704,-83.08312919,0.5193467244,-468.6412427,0.2865248058,-3.614243025,0.0300978848,0.4692803037,0.2041706077,-78.48001552,0.1168788242,-22.78609247
cv_normal,anodic,100,2,12,10,400,100,1.166490976,-28.30906554,0.2931924471,-20.93586761,0.2197590421,-113.0479334,0.8071582817,-971.1832609,0.3194816548,-1.198523213,0.0814088511,-0.6911904258,0.3921797816,-362.2154503,0.3512918694,-183.147964
cv_normal,anodic,100,2,13,20,0,100,1.107231412,-49.73525699,0.2475824798,-85.38586755,0.1997122177,-31.03533578,0.2418617258,-105.4542,0.2900007133,-2.480416351,0.05162770332,-2.756371124,0.05766922634,-1.671211417,0.1435345384,-36.49223576
cv_normal,anodic,100,2,14,20,100,100,1.109034075,-80.01584983,0.2755715933,-29.07396187,0.1167232984,-0.4339756027,0.3081489896,-15.80481232,0.3257370797,-5.988993052,0.03455023479,0.5272584702,0.05119875522,0.7241039618,0.1012078243,-0.8127601598
cv_normal,anodic,100,2,15,20,200,100,1.100512775,-83.21006671,0.2778399073,-12.77898732,0.1350571343,-0.4186167535,0.3817967489,-38.22348529,0.3413423045,-7.101287911,0.02412832878,0.896083973,0.07705942967,0.5381705703,0.0869081271,-1.032368761
