technique,sweep,n_held_out,baseline_rmse_global,corrected_rmse_global,baseline_r2_global,corrected_r2_global,baseline_rmse_AA,corrected_rmse_AA,baseline_r2_AA,corrected_r2_AA,baseline_rmse_DA,corrected_rmse_DA,baseline_r2_DA,corrected_r2_DA,baseline_rmse_UA,corrected_rmse_UA,baseline_r2_UA,corrected_r2_UA,rmse_global_reduction_frac,rmse_AA_reduction_frac,rmse_DA_reduction_frac,rmse_UA_reduction_frac,baseline_r2_global_median,corrected_r2_global_median,baseline_rmse_global_median,corrected_rmse_global_median
cv_gc,anodic,84,3.148621009,2.952873336,-372.9498622,-199.0910429,5.807966287,5.928145343,-421976,-166322.9068,1.473865087,1.460260855,-21876.7462,-9728.38972,0.3820086963,0.2031062856,-415.9217157,-75.23638743,0.06216933467,-0.02069210629,0.009230309924,0.4683202567,-8.470822881,-14.70521732,1.884173234,2.570708393
cv_gc,cathodic,84,2.786205273,3.017436004,-744.284183,-292.1324435,5.104478644,6.112471058,-231237.7951,-237667.4226,1.222985895,1.429412164,-7656.921137,-9817.479256,0.1807783578,0.1403945058,-37.15586027,-20.99453345,-0.08299127599,-0.1974721582,-0.1687887574,0.2233887533,-24.0972367,-82.57228701,1.773942151,2.17421651
cv_normal,anodic,84,1.040275598,0.2863922136,-20.77529719,-0.5046520469,0.2387800935,0.05850012455,-812.9049124,-33.52828808,0.230021124,0.2031490086,-457.7559272,-271.1230418,0.4385559371,0.1975902636,-1517.850798,-331.3510402,0.7246958267,0.7550041811,0.1168245551,0.5494525398,-7.98923498,0.4565522358,1.044890657,0.2849498447
cv_normal,cathodic,84,1.105427872,0.2073446628,-128.6544244,-3.079935256,0.2735146806,0.07028889989,-1885.579146,-120.0376906,0.1277847562,0.1128808085,-327.3385926,-253.9317927,0.2568628997,0.1068017908,-93.71589705,-12.83836154,0.8124304008,0.7430159883,0.1166332207,0.5842070188,-94.23457748,-1.893785044,1.107008944,0.2071979535
