technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,cathodic,200,3,8,5,400,200,1.015711666,-38.5620134,0.310861436,-1232.657706,0.1108488102,-13.82718838,0.2348392456,-33.14219177,0.224547123,-0.9335370355,0.04822071892,-28.68440444,0.05599290082,-2.783229332,0.106867311,-6.070332004
cv_normal,cathodic,200,3,9,10,0,200,1.080021983,-324.3662867,0.1848268511,-7018.792199,0.08663933386,-93.56881787,0.2124748284,-70.24082698,0.2022274589,-10.40742468,0.06277658741,-808.8219315,0.08571585878,-91.5635735,0.06528883313,-5.726540966
cv_normal,cathodic,200,3,10,10,100,200,1.000756988,-130.8413535,0.2558362499,-16308.48474,0.07867823536,-6.949470629,0.1874870302,-16.72688058,0.2148629336,-5.077393996,0.04743696687,-559.7249804,0.09491929573,-10.5701237,0.09233662237,-3.29969676
cv_normal,cathodic,200,3,11,10,200,200,0.9674875005,-60.02612439,0.3125918399,-1882.700447,0.1041943822,-4.49867869,0.1629502175,-8.569359525,0.2287564606,-2.411707586,0.02888826194,-15.08790133,0.08423362332,-2.593690735,0.130497032,-5.137256169
cv_normal,cathodic,200,3,12,10,400,200,1.044852077,-41.11037727,0.3268994508,-218.6219416,0.1429340411,-13.16234461,0.2066372996,-22.55181405,0.220824005,-0.8809275875,0.04263910025,-2.736486423,0.04285739434,-0.2732548508,0.1403649309,-9.867362667
cv_normal,cathodic,200,3,13,20,0,200,1.113630583,-257.5319081,0.2276530194,-814.9642224,0.1409763757,-30.99681705,0.2520448639,-67.67166928,0.1993077218,-7.280948866,0.04377394104,-29.1686297,0.06657661769,-6.136044524,0.04822643958,-1.514156462
cv_normal,cathodic,200,3,14,20,100,200,1.047013967,-136.6666544,0.307936235,-1821.411127,0.1287347553,-8.71994166,0.2199436965,-20.89684632,0.2017954338,-4.113832255,0.0187882646,-5.784191574,0.07520811291,-2.317427328,0.07687660661,-1.675142623
cv_normal,cathodic,200,3,15,20,200,200,1.014322405,-85.37671846,0.3466699665,-505.7459799,0.1395193654,-5.492811857,0.1880268363,-11.51692254,0.2103590366,-2.715070071,0.01742038152,-0.279596959,0.07183547849,-0.7212415129,0.1162112553,-3.781391131
cv_normal,cathodic,200,3,16,20,400,200,1.094324533,-77.24191304,0.3562570996,-176.0756786,0.1766433395,-14.63691283,0.2250400416,-24.9290223,0.1972342849,-1.541628133,0.03588540585,-0.7966669688,0.03547091914,0.3694763714,0.1306244865,-7.736062549
cv_normal,cathodic,200,3,17,50,0,200,1.172391869,-249.9601069,0.3124462525,-638.6644879,0.247852711,-38.70380957,0.3434987906,-88.2993777,0.1864867131,-5.349724519,0.01407862896,-0.2987403302,0.03623733371,0.1512939405,0.01620194633,0.8013299567
