day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source
1,19,119,50,200,0,cv_gc,anodic,1001,3.9092463447,3.63000965998,11.6592978392,0.140573977642,-0.438277743937,full_curve_sum,mean
1,19,119,50,200,0,cv_gc,cathodic,1000,3.33341995876,3.06646874109,10.9764424333,0.122851089323,-0.314509645956,full_curve_sum,mean
1,20,120,50,400,0,cv_normal,anodic,1001,1.71356079973,0.831388199321,9.76825243469,0.307775072582,-1.60110227375,full_curve_sum,mean
1,20,120,50,400,0,cv_normal,cathodic,1000,1.38442544243,0.874996868507,8.68184557616,0.248077131581,-2.15133653426,full_curve_sum,mean
1,20,120,50,400,0,cv_gc,anodic,1001,5.11510861379,4.43175678127,13.8656112927,0.18025004057,-0.238158889182,full_curve_sum,mean
1,20,120,50,400,0,cv_gc,cathodic,1000,4.50812524708,3.75390206785,13.3993096763,0.160597959525,-0.115409009125,full_curve_sum,mean
1,22,122,100,100,0,cv_normal,anodic,1001,1.5675743433,0.525174861676,9.71718727263,0.379502818793,-4.07883964263,full_curve_sum,mean
1,22,122,100,100,0,cv_normal,cathodic,1000,1.32020389475,0.783626914408,8.68808266106,0.307829529526,-3.92866564242,full_curve_sum,mean
1,22,122,100,100,0,cv_gc,anodic,1001,1.43536930158,0.551059099424,8.72073842967,0.296872124794,-1.24644346105,full_curve_sum,mean
1,22,122,100,100,0,cv_gc,cathodic,1000,1.25194746653,0.739640646605,8.05548600496,0.254810454694,-1.0397216868,full_curve_sum,mean
1,23,123,100,200,0,cv_normal,anodic,1001,1.61658872681,0.565673844014,10.0110593734,0.412850588163,-3.28244137384,full_curve_sum,mean
1,23,123,100,200,0,cv_normal,cathodic,1000,1.37799466171,0.824030723171,8.98711793286,0.34675037568,-3.88599876744,full_curve_sum,mean
1,23,123,100,200,0,cv_gc,anodic,1001,1.48663231547,0.644931588675,9.00173938678,0.311708702633,-1.03616504044,full_curve_sum,mean
1,23,123,100,200,0,cv_gc,cathodic,1000,1.28602715412,0.768167913887,8.3256958853,0.268222677294,-0.804325618089,full_curve_sum,mean
1,24,124,100,400,0,cv_normal,anodic,1001,1.69968909054,0.722556321384,10.1167031977,0.421163389385,-1.95622265864,full_curve_sum,mean
1,24,124,100,400,0,cv_normal,cathodic,1000,1.38700415369,0.786013665146,9.05775656188,0.342512446893,-2.53641900829,full_curve_sum,mean
1,24,124,100,400,0,cv_gc,anodic,1001,1.65090634962,0.950694752569,9.32399908572,0.334440368011,-0.866628979709,full_curve_sum,mean
1,24,124,100,400,0,cv_gc,cathodic,1000,1.30112467994,0.683217177086,8.63921391495,0.263008885036,-0.467219350595,full_curve_sum,mean
2,2,202,0,100,100,cv_normal,anodic,1001,1.27049964427,0.479630257018,8.08422189583,0.678963168321,-2.99575596153,full_curve_sum,mean
2,2,202,0,100,100,cv_normal,cathodic,1000,1.06874553538,0.601089097261,7.62123269101,0.686644845166,-5.53012784666,full_curve_sum,mean
2,2,202,0,100,100,cv_gc,anodic,1001,9.83414684465,9.71077555501,10.6292845633,4.63361219622,-156.70871833,full_curve_sum,mean
2,2,202,0,100,100,cv_gc,cathodic,1000,10.2586171023,10.1743190431,10.8435391411,5.18321397651,-317.738286855,full_curve_sum,mean
2,3,203,0,200,100,cv_normal,anodic,1001,1.24059075627,0.508529689547,7.87109399656,0.526761051945,-1.32384200327,full_curve_sum,mean
2,3,203,0,200,100,cv_normal,cathodic,1000,1.04596252922,0.575578627542,7.41326796281,0.567940884913,-2.81409159489,full_curve_sum,mean
2,3,203,0,200,100,cv_gc,anodic,1001,9.77041243684,9.64996824124,10.6253124854,3.9285462728,-111.490150276,full_curve_sum,mean
2,3,203,0,200,100,cv_gc,cathodic,1000,10.2196837393,10.1378904158,10.8066766737,4.59869672829,-228.380647911,full_curve_sum,mean
2,4,204,0,400,100,cv_normal,anodic,1001,1.20961451004,0.624236460724,7.30373782087,0.344268874305,0.0768079373869,full_curve_sum,mean
2,4,204,0,400,100,cv_normal,cathodic,1000,0.998033463286,0.547921260592,6.81090659183,0.380580179716,-0.472844269805,full_curve_sum,mean
2,4,204,0,400,100,cv_gc,anodic,1001,9.68056778611,9.56570706687,10.6171099551,2.72788486806,-53.5361232377,full_curve_sum,mean
2,4,204,0,400,100,cv_gc,cathodic,1000,10.1510842597,10.0748355366,10.7764781602,3.50094731367,-118.501837814,full_curve_sum,mean
2,5,205,5,0,100,cv_normal,anodic,1001,1.41873462618,0.595179052117,8.75037599474,0.960598693016,-10.6933592477,full_curve_sum,mean
2,5,205,5,0,100,cv_normal,cathodic,1000,1.13265281009,0.648466717476,8.15214018589,0.765318880447,-14.5546433342,full_curve_sum,mean
2,5,205,5,0,100,cv_gc,anodic,1001,6.42979549255,6.25176776803,14.0721571103,3.79427948002,-128.932358706,full_curve_sum,mean
2,5,205,5,0,100,cv_gc,cathodic,1000,5.96389842054,5.82285050278,13.6675096305,3.50998214996,-227.844468828,full_curve_sum,mean
2,6,206,5,100,100,cv_normal,anodic,1001,1.44559437184,0.622360992712,8.80491997276,0.930483409023,-6.17820538024,full_curve_sum,mean
2,6,206,5,100,100,cv_normal,cathodic,1000,1.12571531894,0.588916078597,8.23816490799,0.746680011434,-8.28412055825,full_curve_sum,mean
2,6,206,5,100,100,cv_gc,anodic,1001,6.44359930086,6.26937705753,14.0579757033,3.34654634877,-81.6090375126,full_curve_sum,mean
2,6,206,5,100,100,cv_gc,cathodic,1000,5.94954136906,5.81291142295,13.6490275936,3.08469774453,-129.259272577,full_curve_sum,mean
2,7,207,5,200,100,cv_normal,anodic,1001,1.38974017716,0.58489168795,8.55829207349,0.643559119947,-2.42692695484,full_curve_sum,mean
2,7,207,5,200,100,cv_normal,cathodic,1000,1.10353923169,0.58227724709,7.9967001798,0.604756075332,-3.86061726413,full_curve_sum,mean
2,7,207,5,200,100,cv_gc,anodic,1001,6.56511698301,6.39161810042,14.1439766604,3.06766832532,-68.2016569972,full_curve_sum,mean
2,7,207,5,200,100,cv_gc,cathodic,1000,6.0059553381,5.86992269772,13.7242374739,2.92808815439,-105.00680828,full_curve_sum,mean
