0.799, -1.636e-6, -1.393e-6, -1.578e-6, -1.484e-6
0.798, -1.432e-6, -1.196e-6, -1.362e-6, -1.284e-6
0.797, -1.329e-6, -1.098e-6, -1.252e-6, -1.182e-6
0.796, -1.261e-6, -1.036e-6, -1.180e-6, -1.117e-6
0.795, -1.217e-6, -9.958e-7, -1.134e-6, -1.073e-6
0.794, -1.184e-6, -9.670e-7, -1.098e-6, -1.039e-6
0.793, -1.159e-6, -9.429e-7, -1.071e-6, -1.016e-6
0.792, -1.139e-6, -9.239e-7, -1.049e-6, -9.961e-7
0.791, -1.125e-6, -9.106e-7, -1.032e-6, -9.809e-7
0.790, -1.110e-6, -8.979e-7, -1.016e-6, -9.668e-7
0.789, -1.100e-6, -8.865e-7, -1.004e-6, -9.557e-7
0.788, -1.089e-6, -8.765e-7, -9.913e-7, -9.444e-7
0.787, -1.079e-6, -8.689e-7, -9.812e-7, -9.355e-7
0.786, -1.070e-6, -8.618e-7, -9.709e-7, -9.274e-7
0.785, -1.063e-6, -8.552e-7, -9.636e-7, -9.201e-7
0.784, -1.056e-6, -8.488e-7, -9.561e-7, -9.138e-7
0.783, -1.050e-6, -8.434e-7, -9.490e-7, -9.075e-7
0.782, -1.044e-6, -8.391e-7, -9.442e-7, -9.032e-7
0.781, -1.037e-6, -8.344e-7, -9.374e-7, -8.963e-7
0.780, -1.033e-6, -8.299e-7, -9.334e-7, -8.920e-7
0.779, -1.030e-6, -8.285e-7, -9.290e-7, -8.887e-7
0.778, -1.026e-6, -8.232e-7, -9.244e-7, -8.838e-7
0.777, -1.021e-6, -8.198e-7, -9.191e-7, -8.797e-7
0.776, -1.019e-6, -8.174e-7, -9.167e-7, -8.772e-7
0.775, -1.017e-6, -8.158e-7, -9.134e-7, -8.743e-7
0.774, -1.012e-6, -8.129e-7, -9.111e-7, -8.699e-7
0.773, -1.008e-6, -8.097e-7, -9.065e-7, -8.675e-7
0.772, -1.007e-6, -8.088e-7, -9.051e-7, -8.647e-7
0.771, -1.004e-6, -8.063e-7, -9.029e-7, -8.625e-7
0.770, -1.001e-6, -8.042e-7, -8.992e-7, -8.599e-7
0.769, -1.000e-6, -8.030e-7, -8.971e-7, -8.576e-7
0.768, -9.971e-7, -8.008e-7, -8.958e-7, -8.556e-7
