analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope_summary,n_detail_rows,avg_cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,avg_rmse_uA,median_rmse_uA,max_rmse_uA,avg_mae_uA,avg_max_abs_residual_uA,avg_normalized_rmse,median_normalized_rmse,avg_r2,median_r2,min_r2,objective_score
DA,123,pcr,1,1,3,3,31,3,500,electrode,16,0.910001314837,0.613462980102,0.882142857143,0.856991991844,5.62038017196,0.135963820468,24.0248817302,4.46097488539,11.6863200351,0.0641994157071,0.015981551723,0.903670202065,0.974511973971,0.574162951103,0.912993534955
DA,354,pcr,3,3,3,3,151,2,500,electrode,16,0.998406183405,0.406246220876,0.519047619048,0.759992657537,5.57536369651,0.0878685728707,23.9890724935,4.4274143683,9.99050059622,0.0599410195946,0.0117207861688,0.914616794956,0.986560357087,0.574091867102,0.912987719282
DA,249,pcr,3,3,3,3,101,2,250,electrode,16,0.998303704274,0.403893631107,0.525,0.754711991869,5.57938647878,0.091226838851,24.0101647566,4.42732402096,10.0278569081,0.0594821894537,0.0114987577688,0.914537378989,0.98636594469,0.574285952949,0.912985470684
DA,174,pcr,3,3,3,3,51,2,500,electrode,16,0.998288080991,0.405085627596,0.52380952381,0.7565509007,5.58210383433,0.0901811792694,24.0237548295,4.42941081282,10.1751482288,0.0596465273033,0.0108795342196,0.914520878566,0.986201461175,0.574180865868,0.912956177677
DA,189,pcr,3,3,3,3,51,3,0,electrode,16,0.998295066195,0.405797179592,0.525,0.757718759311,5.58614695145,0.0890449060396,24.0302698086,4.43291018173,10.3145341747,0.0599212452075,0.0106027341559,0.914490463528,0.986197181383,0.574133115053,0.912745015266
DA,339,pcr,3,3,3,3,151,2,250,electrode,16,0.998388780794,0.405105815536,0.515476190476,0.758195122213,5.57417603698,0.0893232560119,23.9764848102,4.42496269713,9.98262923587,0.0600538059452,0.011906201445,0.914624404065,0.986599575923,0.574174090967,0.912735645008
DA,63,pcr,1,1,3,3,31,2,250,electrode,16,0.910489432444,0.607153505068,0.878571428571,0.854034728049,5.61678452096,0.137416442528,24.0119538055,4.45712372642,11.4585103685,0.0643672510893,0.0162060390157,0.903901378343,0.974748545799,0.574258784501,0.91259353891
DA,108,pcr,1,1,3,3,31,3,250,electrode,16,0.910480316109,0.607122780156,0.878571428571,0.854013074893,5.61868066157,0.13743982236,24.0119567211,4.4572423718,11.6724512319,0.0643444106029,0.016150772972,0.903875923775,0.974744893322,0.574258785648,0.912588305925
DA,219,pcr,3,3,3,3,51,3,500,electrode,16,0.99828529698,0.405151250964,0.525,0.756604973482,5.58531541625,0.0901441769854,24.0238247927,4.43099846635,10.3090420434,0.0600050898703,0.0107200587356,0.914480241593,0.98619397044,0.574180030254,0.912562962945
DA,159,pcr,3,3,3,3,51,2,250,electrode,16,0.998269691834,0.403557979036,0.516666666667,0.75442786507,5.58062409632,0.0922782086618,24.0108669156,4.42612122983,10.1592336917,0.0598716191118,0.0111075010993,0.914501749719,0.98620356991,0.574276115509,0.912529422813
